ADXL_X,ADXL_Y,ADXL_Z,ITG_X,ITG_Y,ITG_Z,MMA_X,MMA_Y,MMA_Z
-0.0760838556608125,-0.875051161923099,-0.4077266478729118,-27.5487677247028,-38.168506519954505,-10.350692430156093,-0.079992551002204,-0.9084866277317748,-0.3982813902754014
-0.0652515453230282,-0.8977961763337958,-0.4011845676751203,-26.73226020982944,-40.288128682608544,-10.34529771965546,-0.0641218418458565,-0.921322562485262,-0.4060659703097575
-0.0493903694311569,-0.9253077817655492,-0.3990751632549641,-26.06615885424403,-40.7929318490681,-10.421741749237112,-0.0608946657655093,-0.9434648500964667,-0.4023921217317154
-0.0452478746984157,-0.930702091869136,-0.4050656358080335,-25.511238160601643,-40.39382385673679,-10.718043555131478,-0.058844595203176,-0.9623873033095264,-0.4014358940218866
-0.0551118084237192,-0.9435085241026157,-0.4077791846265238,-24.04209839655708,-40.06104385121528,-11.915186585449018,-0.0600592416474697,-0.964599062413001,-0.4013841344578485
-0.0570474866717729,-0.9474257371865278,-0.4010399315105756,-21.90787512091356,-40.50180858855895,-13.693439054223154,-0.0674800548205542,-0.963077302054771,-0.3897754961537726
-0.0600696634892119,-0.9276089637445224,-0.3701758678250875,-20.01823412320341,-41.180940371025095,-15.23092111254393,-0.0791910943928206,-0.9484880531011386,-0.3715502161434512
-0.0661001030495892,-0.8935334480210154,-0.3538990979365519,-18.71683945713579,-41.7364799141882,-16.417614016569612,-0.0832798731153343,-0.924646409832977,-0.3502412128549695
-0.0590287390114832,-0.8735522793866547,-0.3452668242082696,-18.87457833484136,-42.38901196920405,-17.485468856341466,-0.0778927529386724,-0.9045749230996298,-0.3354068523611143
-0.0569494140509578,-0.8625113510184961,-0.3248123889689093,-19.872628112594874,-42.691222588520624,-18.517365540604374,-0.0787618477595263,-0.8906602876643792,-0.3179328196940946
-0.0703170241486711,-0.8600413905126849,-0.2997580123306778,-20.044606551764023,-42.582995559024894,-19.27801465478149,-0.0835249181778626,-0.8902102687817601,-0.292331870956283
-0.0730924143756677,-0.866430313141758,-0.2836112720386033,-19.56242362757441,-42.65466566596184,-20.068721280240684,-0.0837609806136616,-0.8900040060680581,-0.2837529441971847
-0.0688290031158607,-0.866453377340762,-0.3002829622616045,-19.502372425353137,-43.15655798312494,-21.158171837800147,-0.0884957971594281,-0.8959828480616032,-0.2852754446671341
-0.0787562905314427,-0.8797624071703981,-0.3071253815804456,-19.825075198277965,-43.98381459621643,-22.498157962844697,-0.096757815597914,-0.9060614682435348,-0.2864048820850882
-0.0870748023328094,-0.8957334350191251,-0.3003646658238945,-20.03492121387433,-45.0809412028498,-24.06930425721836,-0.0988945714128873,-0.9189880658678676,-0.2898775981135078
-0.084916292834744,-0.9148118572183211,-0.3067802408686212,-20.035728295508303,-46.29138428279575,-25.80976286452948,-0.0961867405363991,-0.9436442553394646,-0.2920890349956718
-0.0833006406260028,-0.9407587621775614,-0.3089085649534104,-19.03796287266742,-47.78667539016406,-27.75566943566658,-0.095184085551925,-0.956620115916521,-0.2967319360191651
-0.0914604718119507,-0.951169533548952,-0.3190234891176838,-16.729100380245555,-50.19199204077357,-29.14392687360793,-0.1030762502427334,-0.9630387920425072,-0.3071745814084963
-0.1073752875287895,-0.9485381136380928,-0.3270245855349036,-14.680521497326495,-52.81597470111282,-29.731807770981764,-0.1182033818626903,-0.9603389854716632,-0.3177130772657488
-0.127243574995025,-0.929807631050134,-0.3204183329260994,-13.967640795361566,-54.97811677597524,-30.56141947041431,-0.1351141592183649,-0.9491468852457816,-0.311781538461562
-0.1485511154486241,-0.9185485695707732,-0.3112360619639291,-13.602293916549424,-57.59248890476109,-31.863233705539034,-0.1514188231188641,-0.9456849249637682,-0.2999154861382205
-0.1617317854485604,-0.9137947867697968,-0.308691022693642,-12.660826398356994,-61.21880485104116,-33.488781590816735,-0.1660693082442142,-0.9284825610792944,-0.3002728951292207
-0.1626919612131342,-0.8821214755183541,-0.3118369837091226,-11.761080524513524,-65.29173872971671,-35.37004257012385,-0.1747033217318407,-0.9059754753554268,-0.3015868469643701
-0.1610915514738692,-0.8524195113279174,-0.3037162655250493,-11.432893334818328,-68.81129384940988,-36.92318358836674,-0.1782357020392109,-0.8863706009542324,-0.3039195769692856
-0.1687671018329766,-0.8255706333887238,-0.3086966368623891,-11.87681770473195,-71.66234065660915,-38.14163584484235,-0.1802143290676887,-0.8556221382229238,-0.3089127600509602
-0.1673340954423904,-0.7933308135411761,-0.3156528890490339,-13.333163512279848,-73.77998140247466,-39.393939010622525,-0.1741854518912549,-0.8251689479058324,-0.3114326199577546
-0.1521865203992268,-0.7918306280609257,-0.3093809707463547,-15.68901823798734,-74.67805966539044,-40.70902378838261,-0.164440701678746,-0.8121621109316854,-0.308969146205004
-0.1428020546844243,-0.7971015727415934,-0.3046368908559023,-18.69877432194046,-75.03779971098481,-42.176720040561136,-0.1558214255521902,-0.8140335110139485,-0.2954676003196627
-0.1403190684226111,-0.7932717774750183,-0.2773493389447455,-21.48293054066224,-75.41522956315802,-43.60489545445908,-0.1533453437274516,-0.8208676633033704,-0.2733514657998588
-0.1439133051643558,-0.8039948316517381,-0.2712488505011101,-22.865129333054885,-75.93747050345794,-45.02706313666416,-0.1579553011750097,-0.8358860102888293,-0.2600949690345571
-0.1496188708223398,-0.8213122470120261,-0.2999660625148127,-22.63443471198835,-76.42126848989601,-46.51054055167242,-0.1628708177560869,-0.8454707073126444,-0.2818623981230638
-0.1519283811092707,-0.834689674717427,-0.3474170207045185,-22.16683943541347,-76.0576075054679,-47.66157016572158,-0.1686856873856226,-0.8561282124180832,-0.3353359566364451
-0.1565407461817036,-0.8471971633843927,-0.4171702895729951,-22.853574064709857,-75.00575980983358,-48.974208883023394,-0.1708770379663023,-0.8804087465480579,-0.3962525417881423
-0.1636541217286931,-0.8741739474420693,-0.4511256107398236,-24.384352152920357,-74.06556119000666,-50.34165535433599,-0.1767590243037148,-0.8986200269262918,-0.4542717873516549
-0.1692429402562121,-0.8850901469724605,-0.4979318617982636,-26.26267547526638,-73.5349957793272,-50.419567015469646,-0.1865387139807212,-0.906065604465848,-0.5083140315672992
-0.1940053057746754,-0.8854449767490883,-0.5579088945653868,-27.95843026941685,-74.54596234454444,-48.538512454188414,-0.1985242502526091,-0.9120475663506742,-0.5484020056244195
-0.1995629289518049,-0.8960539404176525,-0.5901816623250189,-27.83607370210134,-78.83713966044203,-44.73586394316811,-0.1950584090162702,-0.9170281487742722,-0.5920350106111587
-0.156157170021285,-0.8297021244534148,-0.6961999056833733,-27.488840194818245,-84.27759162448271,-39.30055071279927,-0.1582801487382729,-0.8662664618142152,-0.6967397213435187
-0.1271156800341465,-0.7348903776612842,-0.8101415201371789,-31.318627249821,-86.84872372538837,-32.200048756444296,-0.1308410145685227,-0.7736755558729309,-0.8154767928404592
-0.0956042997139889,-0.6923951374666908,-0.8607441585134996,-38.29460334640239,-84.98227446895577,-24.9859471848752,-0.1095222536508429,-0.7131229951179319,-0.8721472412273914
-0.0450496055223193,-0.6377847017766837,-0.8736772559239541,-44.81713017307337,-77.84575636927846,-20.0491981626592,-0.0657876091455363,-0.6629917920795905,-0.877067595152084
0.0401561597706205,-0.6249196222419343,-0.7863662419355675,-48.53450291771896,-64.79719818607113,-17.280811977999427,0.0202803072031937,-0.6485641919152461,-0.7980353286125282
0.1776697928791227,-0.6886647640362111,-0.6510710355825154,-44.98398958882887,-45.77050282580101,-16.098493532950897,0.1496705960266328,-0.6939081249313941,-0.6499126292328263
0.3144759014182534,-0.7337211709613729,-0.533370342764479,-33.74290996301958,-26.05384009302214,-16.629338461980566,0.2894609022818334,-0.7418549588687187,-0.5278499913299425
0.4456669737614348,-0.7540966316086015,-0.4412725239539948,-22.185222616004605,-13.13855034285394,-19.187637146698798,0.4260297235190858,-0.7685854719289413,-0.4501163500759959
0.4383243489012998,-0.7788963167032563,-0.4043623598611835,-15.674733403564574,-10.38731730546243,-23.58848360644216,0.4288010229152974,-0.7919949246533492,-0.4030092234824923
0.2574564016610321,-0.8101695308028236,-0.4252640901524068,-13.094330777603792,-19.920621044789783,-28.678341904535703,0.2660807984935632,-0.8433147058229635,-0.4128387751526973
0.0969554406742703,-0.8665373341871382,-0.4870596884579701,-14.42587227171298,-35.52658787095637,-33.101950907928526,0.1047457760241571,-0.9002123874279451,-0.4785738064136763
-0.0335286655573518,-0.9441314870971412,-0.5494548203547147,-19.689955828750676,-48.18016617336136,-36.374086920074994,-0.0281076599998217,-0.95859392666388,-0.5576425172150201
-0.1538538685296453,-0.99451123949591,-0.6286418186176801,-25.156481178974804,-56.470819188627786,-39.97265555496095,-0.1482007744978676,-1.023301094656997,-0.6289879773446316
-0.1770970814781466,-1.0012557707590282,-0.7026801336836056,-29.21192272449827,-60.32162982972068,-44.33054403493616,-0.1855516506431988,-1.0415066071136598,-0.6820217262591216
-0.0952583362502827,-1.001821502077182,-0.7228580799583662,-31.185354623878467,-59.8623016400622,-48.18615139141009,-0.1086302508577016,-1.0305735485571212,-0.7110784839076583
0.0141453044262559,-0.9986486631775024,-0.6929726114035286,-28.852759401021924,-53.521822612216994,-50.766468534572695,0.0060103219559249,-1.020615001969545,-0.6892354336939724
0.1030210605850905,-0.996544489710758,-0.6140875988661232,-20.6432588462088,-42.84943568162434,-52.32699561503932,0.0886483804187843,-1.0163040636284673,-0.6165948170940727
0.1469400980283573,-1.023549280651499,-0.5526094312403562,-9.323641770149012,-34.39545117604973,-53.63879283039886,0.1341219853228549,-1.0408548274649454,-0.5583361514542331
0.1474828835068077,-1.052936172489107,-0.5345880252675856,-0.4938149252451254,-30.195627178496807,-54.04507273989664,0.1409167017790919,-1.0752778361653004,-0.5383825433700969
0.163864130674357,-1.07271316997683,-0.5616010221144224,3.5992023086698275,-29.63457723167282,-54.88445253463163,0.1531147391525149,-1.104925378042243,-0.5674740858766156
